condition,age,time,act,bmalnorm,pernorm,bmal,per,stage,bact2,id,other,batch,group
cort,e17,2pm,16.695,8.23,7.43,0.003330605,0.00579892,prenatal,,,,new,corte172pm
cort,e17,2pm,17.825,7.315,5.745,0.006280086,0.018645871,prenatal,,,,new,corte172pm
cort,e17,2pm,16.69,7.535,3.69,0.005391865,0.077481731,prenatal,,,,new,corte172pm
cort,e17,2pm,16.755,6.93,3.46,0.008200912,0.090873282,prenatal,,,,new,corte172pm
cort,e17,2pm,16.415,7.545,3.625,0.00535462,0.081052472,prenatal,,,,new,corte172pm
cort,e17,2pm,18.895,6.68,2.275,0.009752582,0.20661258,prenatal,,,,new,corte172pm
control,e17,5pm,17.86,7.515,2.58,0.005467132,0.167240944,prenatal,,,,new,controle175pm
control,e17,5pm,17.16,7.22,4.17,0.006707542,0.055552668,prenatal,,,,new,controle175pm
control,e17,5pm,16.225,7.83,7.785,0.00439476,0.004534,prenatal,,,,new,controle175pm
control,e17,5pm,16.59,13.435,7.365,9.03E-05,0.006066163,prenatal,,,,new,controle175pm
control,e17,5pm,16.24,7.85,7.28,0.004334256,0.006434305,prenatal,,,,new,controle175pm
control,e17,5pm,17.305,7.38,7.025,0.006003419,0.007678286,prenatal,,,,new,controle175pm
control,e17,5pm,17.93,6.5,6.825,0.011048543,0.008820034,prenatal,,,,new,controle175pm
control,e17,5pm,16.435,7.505,7.64,0.005505159,0.005013382,prenatal,,,,new,controle175pm
cort,e17,5pm,20.81,3.45,3.535,0.091505356,0.086269835,prenatal,,,,new,corte175pm
cort,e17,5pm,20.68,3.755,2.82,0.074068298,0.141610486,prenatal,,,,new,corte175pm
cort,e17,5pm,20.35,4.52,4.545,0.04358574,0.042836963,prenatal,,,,new,corte175pm
cort,e17,5pm,20.755,2.865,2.48,0.137261602,0.179244406,prenatal,,,,new,corte175pm
cort,e17,5pm,20.5,2.61,2.775,0.163799175,0.146097156,prenatal,,,,new,corte175pm
cort,e17,5pm,21.24,2.67,2.95,0.157126672,0.129408115,prenatal,,,,new,corte175pm
control,e14,9am,15.91,7.465,9.595,0.00565993,0.001293056,prenatal,,,,new,controle149am
control,e14,9am,15.65,7.375,10.055,0.006024261,0.000940034,prenatal,,,,new,controle149am
control,e14,9am,16.985,7.29,9.41,0.00638986,0.001469968,prenatal,,,,new,controle149am
control,e14,9am,21.45,5.495,10.455,0.022173802,0.000712412,prenatal,,,,new,controle149am
cort,e14,9am,21.835,5.985,5.675,0.015788304,0.019572882,prenatal,,,,new,corte149am
cort,e14,9am,22.59,5.745,5.755,0.018645871,0.018517075,prenatal,,,,new,corte149am
cort,e14,9am,22.895,5.17,5.7,0.027776334,0.019236631,prenatal,,,,new,corte149am
cort,e14,9am,23.295,6.05,5.18,0.015092755,0.027584469,prenatal,,,,new,corte149am
control,e14,5pm,21.48,6.125,5.195,0.014328188,0.027299153,prenatal,,,,new,controle145pm
control,e14,5pm,17.235,7.23,9.265,0.00666121,0.001625388,prenatal,,,,new,controle145pm
control,e14,5pm,21.225,5.745,5.84,0.018645871,0.017457612,prenatal,,,,new,controle145pm
control,e14,5pm,20.895,5.685,6.15,0.019437682,0.014082038,prenatal,,,,new,controle145pm
cort,e14,5pm,15.625,6.96,8.645,0.008032139,0.002498019,prenatal,,,,new,corte145pm
cort,e14,5pm,14.91,7.36,9.36,0.006087223,0.001521806,prenatal,,,,new,corte145pm
cort,e14,5pm,14.965,7.325,8.68,0.006236706,0.002438146,prenatal,,,,new,corte145pm
cort,e14,5pm,16.465,7.115,9.395,0.007213924,0.001485331,prenatal,,,,new,corte145pm
control,e14,9am,15.11,7.08,8.945,0.007391075,0.002029022,prenatal,,,,new,controle149am
control,e14,9am,14.76,7.05,9.095,0.007546378,0.001828657,prenatal,,,,new,controle149am
control,e14,9am,14.72,6.93,9.445,0.008200912,0.001434735,prenatal,,,,new,controle149am
control,e14,9am,15.655,7.465,8.77,0.00565993,0.002290693,prenatal,,,,new,controle149am
cort,e14,9am,16.045,7.37,9.65,0.006045176,0.001244688,prenatal,,,,new,corte149am
cort,e14,9am,14.82,7.255,9.81,0.006546774,0.001114027,prenatal,,,,new,corte149am
cort,e14,9am,14.745,7.29,9.52,0.00638986,0.001362054,prenatal,,,,new,corte149am
cort,e14,9am,15.12,7.045,9.37,0.007572577,0.001511294,prenatal,,,,new,corte149am
control,e11,2pm,15.565,7.35,10.05,0.006129563,0.000943297,prenatal,,,,new,controle112pm
control,e11,2pm,15.6,7.82,9.84,0.004425328,0.001091101,prenatal,,,,new,controle112pm
control,e11,2pm,16.59,7.455,10.38,0.005699298,0.000750427,prenatal,,,,new,controle112pm
control,e11,2pm,16.475,7.565,10.775,0.005280902,0.000570692,prenatal,,,,new,controle112pm
cort,e11,2pm,15.38,7.22,9.55,0.006707542,0.001334024,prenatal,,,,new,corte112pm
cort,e11,2pm,15.48,7.485,10.17,0.005582008,0.00086801,prenatal,,,,new,corte112pm
